Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
MATW,Matthews International Corporation,34.85,1105742198,,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/matw,NASDAQ,63296,3360
MXIM,"Maxim Integrated Products, Inc.",53.35,14533877431,,1988,Technology,Semiconductors,https://www.nasdaq.com/symbol/mxim,NASDAQ,743316,3674
MGRC,McGrath RentCorp,57.71,1398679470,,1984,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc,NASDAQ,752714,7359
MDCA,MDC Partners Inc.,3.12,224328065.5,,,Technology,Advertising,https://www.nasdaq.com/symbol/mdca,NASDAQ,876883,7311
MDJH,MDJM LTD,2.61,30332007.99,,2019,Finance,Real Estate,https://www.nasdaq.com/symbol/mdjh,NASDAQ,1741534,6531
MDRR,"Medalist Diversified REIT, Inc.",4.34,18294449.74,,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mdrr,NASDAQ,1654595,6798
MFIN,Medallion Financial Corp.,6.69,164569310.3,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfin,NASDAQ,1000209,6199
MFINL,Medallion Financial Corp.,25.6913,0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfinl,NASDAQ,,
MNOV,"MediciNova, Inc.",11.48,494342128.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnov,NASDAQ,1226616,2834
MDSO,"Medidata Solutions, Inc.",91.7,5709295645,,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdso,NASDAQ,1453814,7372
MDGS,Medigus Ltd.,2.71,4027583.03,1486193,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgs,NASDAQ,1618500,3841
MDGSW,Medigus Ltd.,0.4,0,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgsw,NASDAQ,1618500,3841
MDWD,MediWound Ltd.,4.11,111705028.3,,2014,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mdwd,NASDAQ,1593984,2833
MEDP,"Medpace Holdings, Inc.",56.02,2001537964,,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/medp,NASDAQ,1668397,8731
MEIP,"MEI Pharma, Inc.",3.11,221713330.6,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/meip,NASDAQ,1262104,2834
MGTX,MeiraGTx Holdings plc,24.35,811891482.1,,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mgtx,NASDAQ,1735438,2836
MLCO,Melco Resorts & Entertainment Limited,20.55,4967686185,241736554,,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mlco,NASDAQ,1381640,7011
MLNT,"Melinta Therapeutics, Inc.",2.64,31098928.08,,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mlnt,NASDAQ,1461993,2834
MLNX,"Mellanox Technologies, Ltd.",109.75,5986045631,,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/mlnx,NASDAQ,1356104,3674
MELR,"Melrose Bancorp, Inc.",18.88,46069711.04,,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/melr,NASDAQ,1600890,6022
MNLO,Menlo Therapeutics Inc.,6.73,161087705.2,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnlo,NASDAQ,1566044,2834
MTSL,MER Telemanagement Solutions Ltd.,1,3294323,,1997,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/mtsl,NASDAQ,1025561,3661
MELI,"MercadoLibre, Inc.",592.55,29223684878,,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/meli,NASDAQ,1099590,7389
AMTB,Mercantil Bank Holding Corporation,19,820887248,,,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb,NASDAQ,1734342,6021
AMTBB,Mercantil Bank Holding Corporation,13.4,578941532.8,,,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb,NASDAQ,1734342,6021
MBWM,Mercantile Bank Corporation,32.15,527998389.1,,1998,Finance,Major Banks,https://www.nasdaq.com/symbol/mbwm,NASDAQ,1042729,6022
MERC,Mercer International Inc.,14.63,953444868.5,,,Basic Industries,Paper,https://www.nasdaq.com/symbol/merc,NASDAQ,75659,2611
MBIN,Merchants Bancorp,21.65,621445129,,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/mbin,NASDAQ,1629019,6022
MBINP,Merchants Bancorp,26.9,53800000,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbinp,NASDAQ,1555515,
MRCY,Mercury Systems Inc,69.12,3348774213,,1998,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/mrcy,NASDAQ,1049521,3670
MREO,Mereo BioPharma Group plc,4.7,22321949.7,4749351,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mreo,NASDAQ,1041609,3714
EBSB,"Meridian Bancorp, Inc.",16.99,909684764.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ebsb,NASDAQ,1411974,6036
