,cik-year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10
13716,77476-2010,4.121944158162746,4.085441210145065,3.681377948511043,4.042001414290996,3.834947986287782,4.677470439770789,4.1509889394929695,4.714800814401707,4.51943313332117,4.474862582859476
13717,77476-2011,4.344369570547198,4.363561803359465,3.848781160159602,4.213237101142929,4.011605337139273,4.705853263059536,4.345042438044448,5.023206144051264,4.6983934917211645,4.655081226153305
13718,77476-2012,4.490241654402303,4.504958767644975,4.030628828582802,4.387951777275428,4.151187884705404,4.961635482574416,4.492204572347602,5.1413260753704275,4.823577164249204,4.851708212716265
13719,77476-2013,4.638129818296736,4.6367729416290615,4.183141025273757,4.521756504609806,4.2896063505852355,5.059616415132949,4.591451099046865,5.209711589822514,4.961779008052065,4.950437770739829
13720,77476-2014,4.8017200820512915,4.802391780876915,4.380710045023911,4.735997536306472,4.524810200728401,5.22078747787654,4.781708306468912,5.400409319762924,5.152949395950824,5.109595666522538
13721,77476-2015,4.984767202696294,4.927134030175754,4.571648458048412,4.918318871212361,4.71865779764858,5.384282576695954,4.936656331213291,5.562193369958172,5.342654101986812,5.25641494230613
13722,77476-2016,4.947743934609443,4.8531848693003,4.50820425215194,4.849827916057955,4.640754804781387,5.326253675738847,4.888626476387344,5.473856128053442,5.285736998315489,5.223365799622317
13723,77476-2017,4.856573215158574,4.805226993163932,4.414497846677138,4.746274053153664,4.535702848668166,5.229837164544397,4.800527361875534,5.429191460681594,5.14794501490138,5.1370625597989035
13724,77476-2018,5.018154641595782,4.94491209410809,4.588349532426658,4.929436633999939,4.713777712948711,5.368225934195263,4.959744605567157,5.585463482904492,5.298932587634406,5.290675043278432
13725,776901-2008,3.9081504046073614,3.4695042899983304,3.4656247567756564,3.6855340127898777,3.4906253859146057,4.369329723621488,2.951934834503893,4.073440775087593,3.8861800553852914,3.430939466453725
13726,776901-2009,4.061093526801155,3.661341735305507,3.6257794940035146,3.840083205475376,3.6491281898376444,4.538541515941603,3.119534647284963,4.236082733992914,4.023707534845643,3.5126559165924545
13727,776901-2010,4.159618079617465,3.71461358248261,3.7417835466135663,3.9400178230756815,3.771346718958458,4.617680721746343,3.216588784769405,4.313886284254054,4.145794020849754,3.6313375158196215
13728,776901-2011,4.317068957412722,3.8709077522709867,3.885870357632662,4.0651727631795165,3.894700509486962,4.748209039797589,3.390480732418907,4.428946467695528,4.210892318898042,3.7834961827491846
13729,776901-2012,4.471986711406367,4.034124107786188,4.068932179178605,4.237896251100195,4.060950152778376,4.869530766266374,3.5562864555699547,4.581978066586437,4.395457459978075,3.9876112775895822
13730,776901-2013,4.31116360694143,3.903265353379812,3.8858128395293594,4.054810435974998,3.899437741582538,4.759240274860589,3.4078202508706017,4.395786112683157,4.24775424654493,3.7630065700467443
13731,776901-2014,4.632033865547873,4.1701986740955235,4.219945785998764,4.368279849095273,4.233418561217306,4.953217559144614,3.735181845929434,4.61685013419646,4.496871454537361,4.066406907279532
13732,776901-2015,4.764423054384061,4.328395713611107,4.364415841482978,4.518694845986386,4.37415377560602,5.104235637218376,3.90185693114123,4.756101379355464,4.622761062949605,4.212541743612087
13733,776901-2016,4.674101303271896,4.23783671840477,4.246635489250105,4.405558147367807,4.249416233066944,5.025030526079702,3.779846085737594,4.76764452355427,4.537466013337526,4.220361124405595
13734,776901-2017,4.578291756390861,4.148345347284995,4.144825556723376,4.317985750593966,4.157815732105159,4.97764323015446,3.698987524941671,4.677872203838401,4.465609191283473,4.106993885998675
13735,776901-2018,4.700860998929887,4.2933795449893255,4.275704900871962,4.427551288331835,4.273477587102514,5.076665137947461,3.8130382769797837,4.797416974644145,4.570441672147231,4.213000130472667
13736,778164-2008,3.9951611871988146,3.9185024037285974,3.4184637005475222,3.8810437846781984,3.7215109558439647,4.5765703561,3.8838573251974755,4.528768313208936,4.300766578792014,4.210761585879583
13737,778164-2009,4.136731477682893,4.013812044422291,3.5429894764538594,4.057965024529177,3.850746316689713,4.704194204972806,3.999224268469418,4.628376371511534,4.40576048884826,4.281819412282605
13738,778164-2010,4.344296424934074,4.2070734057768036,3.8183117353953344,4.249309283257394,4.1137506462196844,4.918291454067824,4.217913784619195,4.712923917434216,4.574867703175415,4.521919753812449
13739,778164-2011,4.518979647118868,4.379233875540767,4.018859745514443,4.442713057439033,4.271813738519426,5.137666263969734,4.444992459243069,4.883710645564246,4.727542917279389,4.675277678497372
13740,778164-2012,4.517861315629809,4.437024661603293,3.9899340899890734,4.4090804832104595,4.231569682121025,5.034710231839568,4.410870784881471,5.03627399834325,4.765254817234128,4.746065905636236
13741,778164-2013,4.576755585520698,4.485555917372841,4.038509205221859,4.449270315575147,4.2798646897677095,5.090904243693929,4.476677222748746,5.092649901187468,4.768399277595109,4.749534755024607
13742,778164-2014,4.690214585251021,4.651039080247169,4.170125109446865,4.546811416250979,4.419401461872135,5.225320392045575,4.588736887641146,5.244792959723236,4.844199041827457,4.884062681761386
13743,778164-2015,4.289880656827404,4.1491306229003095,3.817184614813805,4.247715796696768,4.034496211206617,4.98104832569504,4.243028500726547,4.707571753876425,4.531665297433661,4.4608696587410295
13744,778164-2016,4.821360637934919,4.7371711604560565,4.3071277452853,4.702482517479423,4.528177690002868,5.290788513244181,4.710243295227081,5.2601903269799735,4.9275809627791185,4.942496795883221
13745,778164-2017,4.888669038768546,4.758776192238668,4.349119716284651,4.756396961996743,4.5921665262961575,5.326539833853016,4.756331522423283,5.27200058518229,4.955986078342781,4.962721706912802
13746,778164-2018,4.96876928985059,4.84437360419381,4.433816374971312,4.826359387148532,4.6647456766589634,5.3914389736781105,4.833135864481943,5.346491944640121,5.04526711748358,5.046906724630865
13747,77877-2008,5.304327018495851,5.250860063025115,5.002257405969622,5.234541140738166,5.18268813115545,5.810763188270254,5.292406655149456,5.404109542341619,5.269959589145536,4.936190074611553
13748,77877-2009,4.013013296646597,3.8511181028120802,3.5090684262236924,3.877071778449867,3.7440113815017826,4.6987347338631045,3.9518476143682104,4.53611600609418,3.9927039116926837,3.9333785633609963
13749,77877-2010,2.3219260801407704,2.323151190008241,1.7792661558506013,2.222443619544271,2.0789147623461877,3.441876817579188,2.3433462812668364,3.5840370893731173,3.0367277037615765,2.9255109007619597
13750,77877-2011,3.9560090747067855,3.798016164661321,3.422788118634096,3.8204504790946086,3.671954495582232,4.566489869818346,3.839267365062706,4.554964828398825,3.915216635232147,4.010658495693207
13751,77877-2012,4.4305779418171385,4.376832386106978,4.017747849220993,4.340180019545283,4.256398458080826,5.044944621425072,4.3707784379832075,4.973398353814537,4.402341268685514,4.416263646161427
