Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
DISCK,"Discovery, Inc.",25.75,$13.52B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/disck,1437107
DISH,DISH Network Corporation,34.04,$7.85B,1995,Consumer Services,Television Services,https://www.nasdaq.com/symbol/dish,1001082
DJCO,Daily Journal Corp. (S.C.),219,$302.38M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/djco,783412
DLBS,Barclays PLC,15.6853,$11.23M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dlbs,
DLHC,DLH Holdings Corp.,5.87,$70.65M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/dlhc,785557
DLPN,"Dolphin Entertainment, Inc.",1.34,$19.29M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dlpn,1282224
DLPNW,"Dolphin Entertainment, Inc.",0.0385,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dlpnw,1282224
DLTH,Duluth Holdings Inc.,15.83,$516.9M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dlth,1649744
DLTR,"Dollar Tree, Inc.",99.34,$23.69B,1995,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/dltr,935703
DMAC,DiaMedica Therapeutics Inc.,3,$35.87M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmac,
DMLP,"Dorchester Minerals, L.P.",19.05,$660.65M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dmlp,1172358
DMPI,"DelMar Pharmaceuticals, Inc.",2.59,$6.87M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmpi,
DMRC,Digimarc Corporation,55.03,$667.4M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dmrc,1438231
DNBF,DNB Financial Corp,40.08,$173.59M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/dnbf,713671
DNJR,GOLDEN BULL LIMITED,4.99,$74.35M,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dnjr,1710350
DNKN,"Dunkin&#39; Brands Group, Inc.",73.8,$6.1B,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dnkn,1357204
DNLI,Denali Therapeutics Inc.,20.81,$1.99B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dnli,1714899
DOCU,"DocuSign, Inc.",50.42,$8.74B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/docu,1261333
DOGZ,Dogness (International) Corporation,3.47,$89.92M,2017,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/dogz,1707303
DOMO,"Domo, Inc.",34.07,$921.83M,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/domo,1505952
DOOO,BRP Inc.,28.35,$1.2B,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/dooo,
DORM,"Dorman Products, Inc.",83.62,$2.75B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/dorm,868780
DOVA,"Dova Pharmaceuticals, Inc.",11.17,$315.36M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dova,1685071
DOX,Amdocs Limited,53.32,$7.41B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,1062579
