Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK
NMM,Navios Maritime Partners LP,12.62,139685681.52,,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nmm,NYSE,0001415921
NAV,Navistar International Corporation,30.85,3056169965.45,,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav,NYSE,0000808450
NAV^D,Navistar International Corporation,24.7,0,,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nav^d,NYSE,
NCR,NCR Corporation,31.25,3753125000,,,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/ncr,NYSE,0000070866
NP,"Neenah, Inc.",59.69,1006774815.25,,,Basic Industries,Paper,https://www.nasdaq.com/symbol/np,NYSE,0001296435
NNI,"Nelnet, Inc.",60.66,2420207827.2,,2003,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nni,NYSE,0001258602
NPTN,NeoPhotonics Corporation,3.88,180320388.76,,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/nptn,NYSE,0001227025
NETS,Netshoes (Cayman) Limited,2.83,87889170.52,,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/nets,NYSE,0001562767
NVRO,Nevro Corp.,59.05,1802436413.1,,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvro,NYSE,0001444380
HYB,"New America High Income Fund, Inc. (The)",8.72,203776964.96,,1988,,,https://www.nasdaq.com/symbol/hyb,NYSE,
NFC,New Frontier Corporation,10.03,405838875,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nfc,NYSE,0001737422
NFC.U,New Frontier Corporation,,0,,2018,,,https://www.nasdaq.com/symbol/nfc.u,NYSE,
NFC.WS,New Frontier Corporation,,0,,,,,https://www.nasdaq.com/symbol/nfc.ws,NYSE,
GF,"New Germany Fund, Inc. (The)",13.91,225463670.77,,1990,,,https://www.nasdaq.com/symbol/gf,NYSE,
NWHM,New Home Company Inc. (The),4.68,93829848.84,,2014,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nwhm,NYSE,0001574596
IRL,"New Ireland Fund, Inc. (The)",8.9483,44511331.8274,,1990,,,https://www.nasdaq.com/symbol/irl,NYSE,0000858707
NEWM,New Media Investment Group Inc.,9,544768749,,2014,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/newm,NYSE,0001579684
NMFC,New Mountain Finance Corporation,14.15,1139349934.5,,2011,,,https://www.nasdaq.com/symbol/nmfc,NYSE,0001496099
NMFX,New Mountain Finance Corporation,25.57,0,,2018,,,https://www.nasdaq.com/symbol/nmfx,NYSE,
EDU,"New Oriental Education & Technology Group, Inc.",81.54,12909405461.4,,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/edu,NYSE,0001372920
NEWR,"New Relic, Inc.",98.22,5708125920.18,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/newr,NYSE,0001448056
NRZ,New Residential Investment Corp.,16.52,6862898264.04,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nrz,NYSE,0001556593
SNR,New Senior Investment Group Inc.,6.4,526143001.6,,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snr,NYSE,0001610114
NYCB,"New York Community Bancorp, Inc.",10.18,4757608279.72,,,Finance,Banks,https://www.nasdaq.com/symbol/nycb,NYSE,0000910073
NYCB^A,"New York Community Bancorp, Inc.",26.49,0,,,,,https://www.nasdaq.com/symbol/nycb^a,NYSE,0000941866
NYCB^U,"New York Community Bancorp, Inc.",47.99,0,,,,,https://www.nasdaq.com/symbol/nycb^u,NYSE,0000941866
NYT,New York Times Company (The),33.95,5635737277.1,,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nyt,NYSE,0000071691
NJR,NewJersey Resources Corporation,48.65,4340721474.95,,,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/njr,NYSE,0000356309
NEU,NewMarket Corporation,408,4564755408,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu,NYSE,0001282637
NEM,Newmont Goldcorp Corporation,31.92,26259542769.6,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nem,NYSE,0001164727
NR,"Newpark Resources, Inc.",7.26,657073349.46,,,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nr,NYSE,0000071829
NEXA,Nexa Resources S.A.,9.58,1271380164.86,,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nexa,NYSE,0001713930
NXRT,"NexPoint Residential Trust, Inc.",40.12,948568273.24,,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nxrt,NYSE,0001620393
NHF,NexPoint Strategic Opportunities Fund,18.85,609654541.6,,,,,https://www.nasdaq.com/symbol/nhf,NYSE,0001356115
NEP,"NextEra Energy Partners, LP",46.14,2590756939.68,,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep,NYSE,0001603145
NEE,"NextEra Energy, Inc.",203.37,97401079078.95,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee,NYSE,0000753308
NEE^I,"NextEra Energy, Inc.",24.89,0,,,,,https://www.nasdaq.com/symbol/nee^i,NYSE,
NEE^J,"NextEra Energy, Inc.",24.52,0,,,,,https://www.nasdaq.com/symbol/nee^j,NYSE,
NEE^K,"NextEra Energy, Inc.",26.04,0,,,,,https://www.nasdaq.com/symbol/nee^k,NYSE,
NEE^N,"NextEra Energy, Inc.",25.89,0,,,,,https://www.nasdaq.com/symbol/nee^n,NYSE,
NEE^R,"NextEra Energy, Inc.",65.23,0,,,,,https://www.nasdaq.com/symbol/nee^r,NYSE,
NGL,NGL ENERGY PARTNERS LP,14.6,1817824056.2,,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl,NYSE,0001504461
NGL^B,NGL ENERGY PARTNERS LP,23.97,0,,,,,https://www.nasdaq.com/symbol/ngl^b,NYSE,0001504461
NGL^C,NGL ENERGY PARTNERS LP,24.71,0,,,,,https://www.nasdaq.com/symbol/ngl^c,NYSE,0001504461
NMK^B,"Niagara Mohawk Holdings, Inc.",94.97,0,,,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^b,NYSE,
NMK^C,"Niagara Mohawk Holdings, Inc.",94.54,0,,,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^c,NYSE,
NLSN,Nielsen N.V.,23,8176362322,,2011,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/nlsn,NYSE,0001492633
NKE,"Nike, Inc.",82.16,129134946396.56,,,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/nke,NYSE,0000320187
NINE,"Nine Energy Service, Inc.",19.47,597872688.6,,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine,NYSE,0001532286
NIO,NIO Inc.,3.86,3960398777.56,,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nio,NYSE,0001736541
NI,"NiSource, Inc",28.51,10637171946.9,,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni,NYSE,0001111711
NI^B,"NiSource, Inc",26.51,0,,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni^b,NYSE,
NL,"NL Industries, Inc.",3.34,162751132.56,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/nl,NYSE,0000072162
NOAH,Noah Holdings Ltd.,38.12,2292138369.76,,2010,Finance,Investment Managers,https://www.nasdaq.com/symbol/noah,NYSE,0001499543
NE,Noble Corporation,1.92,478377897.6,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne,NYSE,0001458891
NBL,Noble Energy Inc.,21.7,10377623267.9,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl,NYSE,0000072207
NBLX,Noble Midstream Partners LP,32.23,1282033627.27,,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx,NYSE,0001647513
NOK,Nokia Corporation,5.12,28665395200,,1994,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/nok,NYSE,0000924613
