"","Symbol","Name","LastSale","MarketCap","ADR.TSO","IPOyear","Sector","Industry","Summary.Quote","X.x","X.y","finance_site","website","description","keywords"
"2004","PMTS","CPI Card Group Inc.","2.738",30557112.226,"n/a","2015","Finance","Finance Companies","https://www.nasdaq.com/symbol/pmts",NA,694,"https://finance.yahoo.com/quote/PMTS","http://www.cpicardgroup.com","Quality credit and debit card manufacturing, flexibility for any program - physical and digital cards, instant issuance, personalization and fulfillment.",NA
"2005","PNBK","Patriot National Bancorp Inc.","15.75",61770082.5,"n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/pnbk",NA,1935,"https://finance.yahoo.com/quote/PNBK","http://www.bankpatriot.com","A faster, creative and more convenient way to bank.",NA
"2006","PNFP","Pinnacle Financial Partners, Inc.","56.05",4313509071.75,"n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/pnfp",NA,2000,"https://finance.yahoo.com/quote/PNFP","http://www.pnfp.com","Home",NA
"2007","PNFP","Pinnacle Financial Partners, Inc.","56.05",4313509071.75,"n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/pnfp",NA,1999,"https://finance.yahoo.com/quote/PNFP","http://www.pnfp.com","Pinnacle Financial Partners",NA
"2008","PNNT","PennantPark Investment Corporation","6.59",441827241.95,"n/a","2007","n/a","n/a","https://www.nasdaq.com/symbol/pnnt",NA,1965,"https://finance.yahoo.com/quote/PNNT","http://www.pennantpark.com",NA,NA
"2009","PNRG","PrimeEnergy Resources Corporation","137",278651972,"n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pnrg",NA,2037,"https://finance.yahoo.com/quote/PNRG","http://www.primeenergy.com",NA,NA
"2010","PNRL","Paringa Resources Limited","5.3201",48758838.8623,"n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pnrl",NA,1928,"https://finance.yahoo.com/quote/PNRL","http://www.paringaresources.com",NA,NA
"2011","PNTR","Pointer Telocation Ltd.","14.54",118652390.48,"n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/pntr",NA,2011,"https://finance.yahoo.com/quote/PNTR","http://www.pointer.com","Optimize Your Mobile Resources - Optimizing operations is the most efficient way to increase your profitability.",NA
"2012","PODD","Insulet Corporation","103.9",6200257643.8,"n/a","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/podd",NA,1333,"https://finance.yahoo.com/quote/PODD","http://www.insulet.com","Automate injectable drug delivery with the customizable OmniPod by Insulet. See how it's improving lives with better adherence and seamless delivery.",NA
"2013","POLA","Polar Power, Inc.","4.4",44629895.2,"n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pola",NA,2013,"https://finance.yahoo.com/quote/POLA","http://www.polarpower.com","index, follow","index, follow"
"2014","POOL","Pool Corporation","184.28",7329309838.96,"n/a","1995","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/pool",NA,2015,"https://finance.yahoo.com/quote/POOL","http://www.poolcorp.com",NA,"POOLCORP World’s largest wholesale distributor of swimming pool supplies, Providing pool construction materials, replacement parts, fencing to pool care prod..."
"2015","POPE","Pope Resources","65.6601",286474556.6793,"n/a","n/a","Consumer Non-Durables","Environmental Services","https://www.nasdaq.com/symbol/pope",NA,2016,"https://finance.yahoo.com/quote/POPE","http://www.poperesources.com",NA,NA
"2016","POWI","Power Integrations, Inc.","68.97",2018798040.93,"n/a","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/powi",NA,2023,"https://finance.yahoo.com/quote/POWI","http://www.power.com","Power Integrations, Inc., is a Silicon Valley-based supplier of high-performance electronic components used in high-voltage power-conversion systems. Our integrated circuits, IGBT-drivers, and diodes enable compact, energy-efficient AC-DC power supplies for a vast range of electronic products including mobile devices, TVs, PCs, appliances, LED lights, smart utility meters, traction motors, DC-AC inverters for wind and solar power generation, power transmission, and industrial equipment.",NA
"2017","POWL","Powell Industries, Inc.","35.83",413927794.84,"n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/powl",NA,2022,"https://finance.yahoo.com/quote/POWL","http://www.powellind.com","IE=EmulateIE10",NA
"2018","PPBI","Pacific Premier Bancorp Inc","29.98",1879445480.48,"n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ppbi",NA,1918,"https://finance.yahoo.com/quote/PPBI","http://www.ppbi.com","When it comes to your business bank, you should expect a difference. Offering businesses and individuals banking solutions with personalized service.",NA
"2019","PPC","Pilgrim&#39;s Pride Corporation","28.5",7108464727.5,"n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/ppc",NA,1996,"https://finance.yahoo.com/quote/PPC","http://www.pilgrims.com",NA,NA
"2020","PPHI","Positive Physicians Holdings, Inc.","11.624",56143920,"n/a","2019","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pphi",NA,2019,"https://finance.yahoo.com/quote/PPHI","http://positivephysicians.com","Positive Physician’s Insurance Company offers a physician-driven, professionally managed concierge focus for all specialty practices.",NA
"2021","PPIH","Perma-Pipe International Holdings, Inc.","8.97",70715192.34,"n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/ppih",NA,1982,"https://finance.yahoo.com/quote/PPIH","http://www.permapipe.com","We are global Leaders in Pre-insulated piping &amp; leak detection systems. Our Pre-insulated pipelines&#160;can be used for both high and low temperature mediums where maintaining pipeline temperature is important.","Global Leaders in Pre-Insulated Piping Systems, Coating Solutions, &amp; Leak Detection Systems"
"2022","PPSI","Pioneer Power Solutions, Inc.","5.1",44502829.5,"n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/ppsi",NA,2002,"https://finance.yahoo.com/quote/PPSI","http://www.pioneerpowersolutions.com",NA,NA
"2023","PRAA","PRA Group, Inc.","28.87",1310231200.97,"n/a","2002","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/praa",NA,2025,"https://finance.yahoo.com/quote/PRAA","http://www.pragroup.com","width=device-width, initial-scale=1",NA
"2024","PRAH","PRA Health Sciences, Inc.","87.08",5717891544.96,"n/a","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/prah",NA,2026,"https://finance.yahoo.com/quote/PRAH","http://prahs.com",NA,NA
"2025","PRCP","Perceptron, Inc.","4.65",44846780.85,"n/a","1992","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/prcp",NA,1976,"https://finance.yahoo.com/quote/PRCP","http://www.perceptron.com","Perceptron metrology solutions include dimensional gauging, CMMs, robot guidance, gap &amp; flush, 3D laser scanning and metrology software.",NA
"2026","PRFT","Perficient, Inc.","31.29",1030854650.91,"n/a","1999","Technology","EDP Services","https://www.nasdaq.com/symbol/prft",NA,1977,"https://finance.yahoo.com/quote/PRFT","http://www.perficient.com"," Perficient is the leading digital transformation consulting firm serving Global 2000&#174; and enterprise customers throughout North America.",NA
